typeName,latitude,longitude,lat_lon,address,count
Graffiti,34.0400547647,-118.21986824,"(34.0400547647, -118.21986824)","1900 E 6TH ST, 90033",27
Graffiti,34.0402243064,-118.219759107,"(34.0402243064, -118.219759107)","1901 E 6TH ST, 90033",26
Graffiti,34.0317129669,-118.198213127,"(34.0317129669, -118.198213127)","524 S LORENA ST, 90063",9
Graffiti,34.0444735977,-118.23828223,"(34.0444735977, -118.23828223)","333 S ALAMEDA ST, 90013",9
Graffiti,34.0078431041,-118.278577797,"(34.0078431041, -118.278577797)","4163 S BROADWAY, 90037",8
Graffiti,34.0867588433,-118.289019011,"(34.0867588433, -118.289019011)","4263 W NORMAL AVE, 90029",8
Graffiti,33.7261934179,-118.288189303,"(33.7261934179, -118.288189303)","1925 S PACIFIC AVE, 90731",7
Graffiti,34.0616512574,-118.270179213,"(34.0616512574, -118.270179213)","1840 W 3RD ST, 90057",6
Graffiti,34.021022557,-118.270842277,"(34.021022557, -118.270842277)","3040 S MAIN ST, 90007",6
Graffiti,34.0501686688,-118.275961909,"(34.0501686688, -118.275961909)","1721 W OLYMPIC BLVD, 90015",6
Graffiti,34.0241691956,-118.203539073,"(34.0241691956, -118.203539073)","1101 S LORENA ST, 90023",6
Graffiti,34.047014779,-118.30514467,"(34.047014779, -118.30514467)","2962 W PICO BLVD, 90006",6
Graffiti,34.0218438988,-118.270387177,"(34.0218438988, -118.270387177)","2922 S MAIN ST, 90007",6
Graffiti,34.0297273328,-118.196155187,"(34.0297273328, -118.196155187)","3501 E 6TH ST, 90023",6
Graffiti,34.0486934441,-118.281826069,"(34.0486934441, -118.281826069)","2100 W 12TH ST, 90006",6
Graffiti,34.0149856702,-118.26417165,"(34.0149856702, -118.26417165)","759 E JEFFERSON BLVD, 90011",6
Graffiti,34.1071330772,-118.255442639,"(34.1071330772, -118.255442639)","2463 N FLETCHER DR, 90039",6
Graffiti,34.0873235724,-118.22577445,"(34.0873235724, -118.22577445)","650 N SAN FERNANDO RD, 90065",6
Graffiti,34.017158146,-118.249488854,"(34.017158146, -118.249488854)","2500 S HOOPER AVE, 90011",6
Graffiti,33.8925142256,-118.284149338,"(33.8925142256, -118.284149338)","534 W REDONDO BEACH BLVD, 90248",5
Graffiti,34.0287101809,-118.265856204,"(34.0287101809, -118.265856204)","2100 S MAIN ST, 90007",5
Graffiti,34.0222309963,-118.260733361,"(34.0222309963, -118.260733361)","2500 S SAN PEDRO ST, 90011",5
Graffiti,34.0907107499,-118.294415139,"(34.0907107499, -118.294415139)","4806 W SANTA MONICA BLVD, 90029",5
Graffiti,33.9932112739,-118.261100669,"(33.9932112739, -118.261100669)","786 E 54TH ST, 90011",5
Graffiti,33.9297551542,-118.282751117,"(33.9297551542, -118.282751117)","11501 S FIGUEROA ST, 90044",5
Graffiti,33.9964587367,-118.256729972,"(33.9964587367, -118.256729972)","5101 S CENTRAL AVE, 90011",5
Graffiti,34.0263849752,-118.267448212,"(34.0263849752, -118.267448212)","2400 S MAIN ST, 90007",5
Graffiti,34.0522085166,-118.283902745,"(34.0522085166, -118.283902745)","2400 W OLYMPIC BLVD, 90006",5
Graffiti,34.0580628432,-118.271190021,"(34.0580628432, -118.271190021)","1801 W 6TH ST, 90057",5
Graffiti,34.0896270442,-118.291976087,"(34.0896270442, -118.291976087)","1001 N VERMONT AVE, 90029",4
Graffiti,34.0732802337,-118.206663745,"(34.0732802337, -118.206663745)","2345 N GATES ST, 90031",4
Graffiti,34.0878147924,-118.29156504,"(34.0878147924, -118.29156504)","900 N VERMONT AVE, 90029",4
Graffiti,34.023776914,-118.271011445,"(34.023776914, -118.271011445)","2731 S BROADWAY, 90007",4
Graffiti,34.0231461667,-118.25811614,"(34.0231461667, -118.25811614)","856 E 23RD ST, 90011",4
Graffiti,34.0174543542,-118.220662827,"(34.0174543542, -118.220662827)","2777 E WASHINGTON BLVD, 90023",4
