requestId,createdDate,closedDate,typeId,typeName,address,lat_lon,latitude,longitude,agencyId,agencyName,sourceId,srnumber,sourceName,councilId,councilName
10638532,2022-09-19 11:07:22,2022-09-20 09:35:20,4,Bulky Items,"11225 N SIERRA PASS PL, 91311","(34.2747211947, -118.610043043)",34.2747211947,-118.610043043,3,Sanitation Bureau,8,1-2500995851,Phone Call,11,Chatsworth
10638534,2022-09-19 11:07:35,2022-09-20 10:11:11,7,Metal/Appliances,"243 S AVENUE 50, 90042","(34.1029581842, -118.200271159)",34.1029581842,-118.200271159,3,Sanitation Bureau,17,1-2500998901,Website,39,Historic Highland Park
10638536,2022-09-19 11:07:42,2022-09-21 07:34:01,4,Bulky Items,"17162 W PARTHENIA ST, 91325","(34.2283765872, -118.508080576)",34.2283765872,-118.508080576,3,Sanitation Bureau,17,1-2500997561,Website,59,Northridge South
10638537,2022-09-19 11:07:53,2022-09-21 12:05:30,7,Metal/Appliances,"1833 S MANNING AVE, 90025","(34.0514359143, -118.430501451)",34.0514359143,-118.430501451,3,Sanitation Bureau,8,1-2500999011,Phone Call,93,Westside
10638538,2022-09-19 11:07:54,2022-09-20 10:19:24,1,Graffiti,"17308 W SATICOY ST, 91406","(34.2082575227, -118.510410902)",34.2082575227,-118.510410902,4,Office of Community Beautification,17,1-2500997651,Website,44,Lake Balboa
10638542,2022-09-19 11:08:28,2022-09-20 08:04:02,1,Graffiti,"18140 W DEVONSHIRE ST, 91325","(34.2570357328, -118.528816525)",34.2570357328,-118.528816525,4,Office of Community Beautification,17,1-2500999201,Website,58,Northridge East
10641390,2022-09-19 11:08:28,2022-09-19 14:35:00,1,Graffiti,"4274 W COUNTRY CLUB DR, 90019","(34.0536397055, -118.325942279)",34.0536397055,-118.325942279,4,Office of Community Beautification,17,1-2500997811,Website,62,Olympic Park
10638546,2022-09-19 11:08:54,2022-09-20 14:26:20,4,Bulky Items,"4833 E SAN MARCOS PL, 90042","(34.1104965676, -118.208152503)",34.1104965676,-118.208152503,3,Sanitation Bureau,8,1-2500999981,Phone Call,39,Historic Highland Park
10638548,2022-09-19 11:08:59,2022-09-20 09:45:26,4,Bulky Items,"1123 W 46TH ST, 90037","(34.0017700407, -118.294642669)",34.0017700407,-118.294642669,3,Sanitation Bureau,8,1-2500999391,Phone Call,85,Voices
10638550,2022-09-19 11:09:00,2022-09-20 11:12:34,7,Metal/Appliances,"1828 N AVENUE 51, 90042","(34.1262378268, -118.203232527)",34.1262378268,-118.203232527,3,Sanitation Bureau,8,1-2500999421,Phone Call,39,Historic Highland Park
10638552,2022-09-19 11:09:22,2022-09-21 12:30:24,4,Bulky Items,"632 S MIDVALE AVE, 90024","(34.0653319575, -118.451609105)",34.0653319575,-118.451609105,3,Sanitation Bureau,8,1-2501000111,Phone Call,57,North Westwood
10638554,2022-09-19 11:09:26,2022-09-20 10:01:11,4,Bulky Items,"12910 W MAGNOLIA BLVD, 91423","(34.164701431, -118.414324662)",34.164701431,-118.414324662,3,Sanitation Bureau,8,1-2500998471,Phone Call,72,Sherman Oaks
10638557,2022-09-19 11:09:40,2022-09-22 16:52:51,4,Bulky Items,"6107 S 11TH AVE, 90043","(33.9842983662, -118.329540189)",33.9842983662,-118.329540189,3,Sanitation Bureau,8,1-2501001081,Phone Call,67,Park Mesa Heights
10638561,2022-09-19 11:10:09,2022-09-22 14:41:00,4,Bulky Items,"1652 W 66TH ST, 90047","(33.9790216729, -118.306441061)",33.9790216729,-118.306441061,3,Sanitation Bureau,8,1-2500998681,Phone Call,19,Empowerment Congress Central
10638562,2022-09-19 11:10:09,2022-09-20 09:49:09,4,Bulky Items,"1123 W 46TH ST, 90037","(34.0017700407, -118.294642669)",34.0017700407,-118.294642669,3,Sanitation Bureau,8,1-2500998701,Phone Call,85,Voices
10638563,2022-09-19 11:10:10,2022-09-22 09:30:31,4,Bulky Items,"15127 W LEMAY ST, 91405","(34.1922484963, -118.462898748)",34.1922484963,-118.462898748,3,Sanitation Bureau,8,1-2501000331,Phone Call,83,Van Nuys
10638569,2022-09-19 11:10:47,2022-09-20 15:57:35,7,Metal/Appliances,"4833 E SAN MARCOS PL, 90042","(34.1104965676, -118.208152503)",34.1104965676,-118.208152503,3,Sanitation Bureau,8,1-2501001451,Phone Call,39,Historic Highland Park
10638571,2022-09-19 11:10:51,2022-09-22 09:30:19,4,Bulky Items,"15127 W LEMAY ST, 91405","(34.1922484963, -118.462898748)",34.1922484963,-118.462898748,3,Sanitation Bureau,8,1-2501001491,Phone Call,83,Van Nuys
10643157,2022-09-19 11:10:58,2022-09-20 10:08:13,4,Bulky Items,"4839 N CAHUENGA BLVD, 91601","(34.1588619308, -118.361731624)",34.1588619308,-118.361731624,3,Sanitation Bureau,8,1-2501001531,Phone Call,52,Noho
10638575,2022-09-19 11:11:16,2022-09-22 17:46:24,4,Bulky Items,"7254 W HOLLYWOOD BLVD, 90046","(34.1014830238, -118.348185136)",34.1014830238,-118.348185136,3,Sanitation Bureau,7,1-2501004051,Mobile App,40,Hollywood Hills West
10638574,2022-09-19 11:11:17,2022-09-20 13:13:48,7,Metal/Appliances,"1123 W 46TH ST, 90037","(34.0017700407, -118.294642669)",34.0017700407,-118.294642669,3,Sanitation Bureau,8,1-2501003021,Phone Call,85,Voices
10639515,2022-09-19 11:11:22,2022-09-19 12:17:14,1,Graffiti,"LOUISE AVE AT SATICOY ST, 91406","(34.208400629, -118.509906019)",34.208400629,-118.509906019,4,Office of Community Beautification,17,1-2501004101,Website,44,Lake Balboa
10638658,2022-09-19 11:11:22,2022-09-19 11:16:28,1,Graffiti,"1259 S CENTRAL AVE, 90021","(34.0297364608, -118.245804484)",34.0297364608,-118.245804484,4,Office of Community Beautification,18,1-2501001671,Work Crew,14,Downtown Los Angeles
10638663,2022-09-19 11:11:22,2022-09-19 11:16:39,1,Graffiti,"1301 S CENTRAL AVE, 90021","(34.0293143391, -118.246308733)",34.0293143391,-118.246308733,4,Office of Community Beautification,18,1-2501001686,Work Crew,14,Downtown Los Angeles
10638659,2022-09-19 11:11:22,2022-09-19 11:16:30,1,Graffiti,"1301 S CENTRAL AVE, 90021","(34.0293143391, -118.246308733)",34.0293143391,-118.246308733,4,Office of Community Beautification,18,1-2501001676,Work Crew,14,Downtown Los Angeles
10638661,2022-09-19 11:11:22,2022-09-19 11:16:34,1,Graffiti,"1301 S CENTRAL AVE, 90021","(34.0293143391, -118.246308733)",34.0293143391,-118.246308733,4,Office of Community Beautification,18,1-2501001681,Work Crew,14,Downtown Los Angeles
10638675,2022-09-19 11:11:23,2022-09-19 11:17:00,1,Graffiti,"1616 S MAIN ST, 90015","(34.0330404072, -118.262797663)",34.0330404072,-118.262797663,4,Office of Community Beautification,18,1-2501001722,Work Crew,14,Downtown Los Angeles
10638670,2022-09-19 11:11:23,2022-09-19 11:16:55,1,Graffiti,"1623 S LOS ANGELES ST, 90015","(34.0325147845, -118.262181108)",34.0325147845,-118.262181108,4,Office of Community Beautification,18,1-2501001712,Work Crew,14,Downtown Los Angeles
10638666,2022-09-19 11:11:23,2022-09-19 11:16:47,1,Graffiti,"1621 S LOS ANGELES ST, 90015","(34.0325496988, -118.262149079)",34.0325496988,-118.262149079,4,Office of Community Beautification,18,1-2501001697,Work Crew,14,Downtown Los Angeles
10638672,2022-09-19 11:11:23,2022-09-19 11:16:57,1,Graffiti,"1623 S LOS ANGELES ST, 90015","(34.0325147845, -118.262181108)",34.0325147845,-118.262181108,4,Office of Community Beautification,18,1-2501001717,Work Crew,14,Downtown Los Angeles
10638669,2022-09-19 11:11:23,2022-09-19 11:16:52,1,Graffiti,"1623 S LOS ANGELES ST, 90015","(34.0325147845, -118.262181108)",34.0325147845,-118.262181108,4,Office of Community Beautification,18,1-2501001707,Work Crew,14,Downtown Los Angeles
10638665,2022-09-19 11:11:23,2022-09-19 11:16:44,1,Graffiti,"1635 S LOS ANGELES ST, 90015","(34.0317225708, -118.262749729)",34.0317225708,-118.262749729,4,Office of Community Beautification,18,1-2501001692,Work Crew,14,Downtown Los Angeles
10638667,2022-09-19 11:11:23,2022-09-19 11:16:49,1,Graffiti,"1621 S LOS ANGELES ST, 90015","(34.0325496988, -118.262149079)",34.0325496988,-118.262149079,4,Office of Community Beautification,18,1-2501001702,Work Crew,14,Downtown Los Angeles
10638577,2022-09-19 11:11:24,2022-09-22 12:04:50,4,Bulky Items,"1652 W 66TH ST, 90047","(33.9790216729, -118.306441061)",33.9790216729,-118.306441061,3,Sanitation Bureau,8,1-2501003041,Phone Call,19,Empowerment Congress Central
10638676,2022-09-19 11:11:24,2022-09-19 11:17:03,1,Graffiti,"1611 S MAIN ST, 90015","(34.0334221092, -118.263051629)",34.0334221092,-118.263051629,4,Office of Community Beautification,18,1-2501001727,Work Crew,14,Downtown Los Angeles
10638580,2022-09-19 11:11:34,2022-09-23 11:15:32,4,Bulky Items,"248 E 106TH ST, 90003","(33.9400516959, -118.269957762)",33.9400516959,-118.269957762,3,Sanitation Bureau,7,1-2501000801,Mobile App,21,Empowerment Congress Southeast
10638579,2022-09-19 11:11:34,2022-09-22 15:32:39,4,Bulky Items,"1350 N RAVENNA AVE, 90744","(33.7904032981, -118.268668463)",33.7904032981,-118.268668463,3,Sanitation Bureau,8,1-2501001811,Phone Call,95,Wilmington
10641389,2022-09-19 11:11:41,2022-09-19 14:34:56,1,Graffiti,"4225 W PICO BLVD, 90019","(34.0480484884, -118.327555907)",34.0480484884,-118.327555907,4,Office of Community Beautification,17,1-2501000861,Website,62,Olympic Park
10638620,2022-09-19 11:12:04,2022-09-19 11:15:15,1,Graffiti,"402 E CENTURY BLVD, 90003","(33.9454621203, -118.267156202)",33.9454621203,-118.267156202,4,Office of Community Beautification,18,1-2501003231,Work Crew,21,Empowerment Congress Southeast
10638624,2022-09-19 11:12:04,2022-09-19 11:15:21,1,Graffiti,"10209 S TOWNE AVE, 90003","(33.9433342114, -118.267501468)",33.9433342114,-118.267501468,4,Office of Community Beautification,18,1-2501003236,Work Crew,21,Empowerment Congress Southeast
10638634,2022-09-19 11:12:05,2022-09-19 11:15:39,1,Graffiti,"200 E CENTURY BLVD, 90003","(33.9454124661, -118.27152202)",33.9454124661,-118.27152202,4,Office of Community Beautification,18,1-2501003272,Work Crew,21,Empowerment Congress Southeast
10638629,2022-09-19 11:12:05,2022-09-19 11:15:28,1,Graffiti,"616 E 109TH PL, 90059","(33.9363586237, -118.264507484)",33.9363586237,-118.264507484,4,Office of Community Beautification,18,1-2501003257,Work Crew,21,Empowerment Congress Southeast
10638636,2022-09-19 11:12:05,2022-09-19 11:15:42,1,Graffiti,"154 E 99TH ST, 90003","(33.9463647549, -118.271930671)",33.9463647549,-118.271930671,4,Office of Community Beautification,18,1-2501003277,Work Crew,21,Empowerment Congress Southeast
10638627,2022-09-19 11:12:05,2022-09-19 11:15:24,1,Graffiti,"10950 S AVALON BLVD, 90061","(33.9363177441, -118.264988344)",33.9363177441,-118.264988344,4,Office of Community Beautification,18,1-2501003252,Work Crew,21,Empowerment Congress Southeast
10638633,2022-09-19 11:12:05,2022-09-19 11:15:35,1,Graffiti,"10127 S SAN PEDRO ST, 90003","(33.9444125289, -118.269675557)",33.9444125289,-118.269675557,4,Office of Community Beautification,18,1-2501003267,Work Crew,21,Empowerment Congress Southeast
10638630,2022-09-19 11:12:05,2022-09-19 11:15:32,1,Graffiti,"11117 S TOWNE AVE, 90061","(33.9342272387, -118.26752121)",33.9342272387,-118.26752121,4,Office of Community Beautification,18,1-2501003262,Work Crew,0,No council
10638637,2022-09-19 11:12:05,2022-09-19 11:15:45,1,Graffiti,"9801 S SAN PEDRO ST, 90003","(33.9470913023, -118.269718645)",33.9470913023,-118.269718645,4,Office of Community Beautification,18,1-2501003282,Work Crew,21,Empowerment Congress Southeast
10638643,2022-09-19 11:12:06,2022-09-20 08:05:10,1,Graffiti,"117 E 87TH ST, 90003","(33.9591670642, -118.273258333)",33.9591670642,-118.273258333,4,Office of Community Beautification,18,1-2501003303,Work Crew,21,Empowerment Congress Southeast
10638639,2022-09-19 11:12:06,2022-09-19 11:15:47,1,Graffiti,"9721 S SAN PEDRO ST, 90003","(33.9476060269, -118.269810363)",33.9476060269,-118.269810363,4,Office of Community Beautification,18,1-2501003288,Work Crew,21,Empowerment Congress Southeast
10638646,2022-09-19 11:12:06,2022-09-19 11:15:58,1,Graffiti,"8700 S MAIN ST, 90003","(33.9588950462, -118.273735301)",33.9588950462,-118.273735301,4,Office of Community Beautification,18,1-2501003308,Work Crew,21,Empowerment Congress Southeast
10638650,2022-09-19 11:12:06,2022-09-19 11:16:07,1,Graffiti,"10115 S FIGUEROA ST, 90003","(33.9441266814, -118.28290412)",33.9441266814,-118.28290412,4,Office of Community Beautification,18,1-2501003323,Work Crew,21,Empowerment Congress Southeast
10638649,2022-09-19 11:12:06,2022-09-19 11:16:04,1,Graffiti,"8627 S MAIN ST, 90003","(33.9596528876, -118.274022055)",33.9596528876,-118.274022055,4,Office of Community Beautification,18,1-2501003318,Work Crew,21,Empowerment Congress Southeast
10638648,2022-09-19 11:12:06,2022-09-19 11:16:01,1,Graffiti,"8708 S MAIN ST, 90003","(33.9587287745, -118.273738544)",33.9587287745,-118.273738544,4,Office of Community Beautification,18,1-2501003313,Work Crew,21,Empowerment Congress Southeast
10638641,2022-09-19 11:12:06,2022-09-19 11:15:50,1,Graffiti,"9617 S SAN PEDRO ST, 90003","(33.9486539207, -118.269739842)",33.9486539207,-118.269739842,4,Office of Community Beautification,18,1-2501003293,Work Crew,21,Empowerment Congress Southeast
10638642,2022-09-19 11:12:06,2022-09-19 11:15:53,1,Graffiti,"155 E 87TH ST, 90003","(33.9591748804, -118.272038649)",33.9591748804,-118.272038649,4,Office of Community Beautification,18,1-2501003298,Work Crew,21,Empowerment Congress Southeast
10638654,2022-09-19 11:12:07,2022-09-19 11:16:16,1,Graffiti,"11510 S VERMONT AVE, 90044","(33.9296642758, -118.291408703)",33.9296642758,-118.291408703,4,Office of Community Beautification,18,1-2501003334,Work Crew,34,Harbor Gateway North
10638652,2022-09-19 11:12:07,2022-09-19 11:16:12,1,Graffiti,"11510 S VERMONT AVE, 90044","(33.9296642758, -118.291408703)",33.9296642758,-118.291408703,4,Office of Community Beautification,18,1-2501003329,Work Crew,34,Harbor Gateway North
10638656,2022-09-19 11:12:07,2022-09-19 11:16:23,1,Graffiti,"860 W MANCHESTER AVE, 90044","(33.9598589825, -118.288486998)",33.9598589825,-118.288486998,4,Office of Community Beautification,18,1-2501003344,Work Crew,21,Empowerment Congress Southeast
10638655,2022-09-19 11:12:07,2022-09-19 11:16:19,1,Graffiti,"8600 S ORCHARD AVE, 90044","(33.959973343, -118.288078136)",33.959973343,-118.288078136,4,Office of Community Beautification,18,1-2501003339,Work Crew,21,Empowerment Congress Southeast
10638657,2022-09-19 11:12:07,2022-09-19 11:16:25,1,Graffiti,"200 E 87TH ST, 90003","(33.9589676831, -118.271646576)",33.9589676831,-118.271646576,4,Office of Community Beautification,18,1-2501003349,Work Crew,21,Empowerment Congress Southeast
10638583,2022-09-19 11:12:10,2022-09-20 14:30:09,4,Bulky Items,"20509 W KITTRIDGE ST, 91306","(34.1903397823, -118.580297788)",34.1903397823,-118.580297788,3,Sanitation Bureau,8,1-2501006981,Phone Call,97,Winnetka
10638584,2022-09-19 11:12:16,2022-09-20 15:26:43,4,Bulky Items,"318 W NEVA PL, 90042","(34.1191867326, -118.187264586)",34.1191867326,-118.187264586,3,Sanitation Bureau,8,1-2501003381,Phone Call,39,Historic Highland Park
10638587,2022-09-19 11:12:23,2022-09-23 10:16:31,4,Bulky Items,"406 S LANDFAIR AVE, 90024","(34.0701512388, -118.452839381)",34.0701512388,-118.452839381,3,Sanitation Bureau,8,1-2501007071,Phone Call,57,North Westwood
10638588,2022-09-19 11:12:26,2022-09-23 12:37:02,4,Bulky Items,"1023 S GRAND AVE, 90731","(33.7346187678, -118.290330172)",33.7346187678,-118.290330172,3,Sanitation Bureau,8,1-2501007121,Phone Call,10,Central San Pedro
10638589,2022-09-19 11:12:26,2022-09-20 14:45:58,4,Bulky Items,"11204 W CAMARILLO ST, 91602","(34.1574757118, -118.374875046)",34.1574757118,-118.374875046,3,Sanitation Bureau,8,1-2501004461,Phone Call,30,Greater Toluca Lake
10638590,2022-09-19 11:12:29,2022-09-21 14:37:16,4,Bulky Items,"1712 N AVENUE 56, 90042","(34.1261798535, -118.196389427)",34.1261798535,-118.196389427,3,Sanitation Bureau,8,1-2501004511,Phone Call,15,Eagle Rock
10638591,2022-09-19 11:12:35,2022-09-20 16:47:29,4,Bulky Items,"1616 W STONEWOOD CT, 90732","(33.761824541, -118.308430611)",33.761824541,-118.308430611,3,Sanitation Bureau,8,1-2501003511,Phone Call,61,Northwest San Pedro
10638595,2022-09-19 11:12:49,2022-09-21 15:35:03,4,Bulky Items,"1390 E NEWTON ST, 90021","(34.0263184357, -118.244908925)",34.0263184357,-118.244908925,3,Sanitation Bureau,7,1-2501007311,Mobile App,14,Downtown Los Angeles
10638599,2022-09-19 11:13:31,2022-09-22 08:24:51,4,Bulky Items,"6580 W COLGATE AVE, 90048","(34.0698611031, -118.370086961)",34.0698611031,-118.370086961,3,Sanitation Bureau,7,1-2501003791,Mobile App,50,Mid City West
10638679,2022-09-19 11:13:40,2022-09-19 11:17:08,1,Graffiti,"1615 S LOS ANGELES ST, 90015","(34.0326630483, -118.262060883)",34.0326630483,-118.262060883,4,Office of Community Beautification,18,1-2501007606,Work Crew,14,Downtown Los Angeles
10638677,2022-09-19 11:13:40,2022-09-19 11:17:05,1,Graffiti,"1613 S LOS ANGELES ST, 90015","(34.0328015649, -118.261933809)",34.0328015649,-118.261933809,4,Office of Community Beautification,18,1-2501007601,Work Crew,14,Downtown Los Angeles
10638680,2022-09-19 11:13:41,2022-09-19 11:17:11,1,Graffiti,"1615 S LOS ANGELES ST, 90015","(34.0326630483, -118.262060883)",34.0326630483,-118.262060883,4,Office of Community Beautification,18,1-2501007612,Work Crew,14,Downtown Los Angeles
10638681,2022-09-19 11:13:41,2022-09-19 11:17:14,1,Graffiti,"1222 E 18TH ST, 90021","(34.0252621902, -118.25016878)",34.0252621902,-118.25016878,4,Office of Community Beautification,18,1-2501007617,Work Crew,14,Downtown Los Angeles
10639415,2022-09-19 11:13:45,2022-09-19 12:07:55,1,Graffiti,"7466 N LOUISE AVE, 91406","(34.2065116902, -118.509732491)",34.2065116902,-118.509732491,4,Office of Community Beautification,17,1-2501004821,Website,44,Lake Balboa
10638605,2022-09-19 11:13:54,2022-09-22 16:11:02,4,Bulky Items,"1722 N LAKME AVE, 90744","(33.7983394985, -118.260963529)",33.7983394985,-118.260963529,3,Sanitation Bureau,8,1-2501004881,Phone Call,95,Wilmington
10638604,2022-09-19 11:13:54,2022-09-21 07:58:51,7,Metal/Appliances,"406 S LANDFAIR AVE, 90024","(34.0701512388, -118.452839381)",34.0701512388,-118.452839381,3,Sanitation Bureau,8,1-2501006491,Phone Call,57,North Westwood
10638793,2022-09-19 11:13:55,2022-09-19 11:25:14,1,Graffiti,"1840 W 3RD ST, 90057","(34.0616512574, -118.270179213)",34.0616512574,-118.270179213,4,Office of Community Beautification,18,1-2501007726,Work Crew,91,Westlake North
10638792,2022-09-19 11:13:55,2022-09-19 11:25:11,1,Graffiti,"1406 W 3RD ST, 90017","(34.0582976855, -118.261925877)",34.0582976855,-118.261925877,4,Office of Community Beautification,18,1-2501007721,Work Crew,91,Westlake North
10638794,2022-09-19 11:13:56,2022-09-19 11:25:17,1,Graffiti,"1840 W 3RD ST, 90057","(34.0616512574, -118.270179213)",34.0616512574,-118.270179213,4,Office of Community Beautification,18,1-2501007741,Work Crew,91,Westlake North
10638802,2022-09-19 11:13:56,2022-09-19 11:25:28,1,Graffiti,"2005 W 8TH ST, 90057","(34.0545685006, -118.27683323)",34.0545685006,-118.27683323,4,Office of Community Beautification,18,1-2501007766,Work Crew,92,Westlake South
10638701,2022-09-19 11:13:56,2022-09-19 11:18:05,1,Graffiti,"2004 W 8TH ST, 90057","(34.0542953317, -118.276836609)",34.0542953317,-118.276836609,4,Office of Community Beautification,18,1-2501007771,Work Crew,92,Westlake South
10638800,2022-09-19 11:13:56,2022-09-19 11:25:25,1,Graffiti,"2001 W 8TH ST, 90057","(34.0545374884, -118.27678206)",34.0545374884,-118.27678206,4,Office of Community Beautification,18,1-2501007761,Work Crew,92,Westlake South
10638795,2022-09-19 11:13:56,2022-09-19 11:25:19,1,Graffiti,"1700 W 6TH ST, 90017","(34.0571225013, -118.270055888)",34.0571225013,-118.270055888,4,Office of Community Beautification,18,1-2501007746,Work Crew,92,Westlake South
10638798,2022-09-19 11:13:56,2022-09-19 11:25:22,1,Graffiti,"1925 W 8TH ST, 90057","(34.0543936698, -118.27646608)",34.0543936698,-118.27646608,4,Office of Community Beautification,18,1-2501007756,Work Crew,92,Westlake South
10638698,2022-09-19 11:13:56,2022-09-19 11:17:53,1,Graffiti,"726 S LAKE ST, 90057","(34.0561206959, -118.278340474)",34.0561206959,-118.278340474,4,Office of Community Beautification,18,1-2501007751,Work Crew,47,Macarthur Park
10638803,2022-09-19 11:13:57,2022-09-19 11:25:31,1,Graffiti,"800 W 8TH ST, 90017","(34.0472720092, -118.260395327)",34.0472720092,-118.260395327,4,Office of Community Beautification,18,1-2501007777,Work Crew,14,Downtown Los Angeles
10641193,2022-09-19 11:14:00,2022-09-19 14:22:14,3,Animal Remains,"3427 E SCARBORO ST, 90065","(34.1039912601, -118.225956022)",34.1039912601,-118.225956022,3,Sanitation Bureau,7,1-2501006531,Mobile App,29,Greater Cypress Park
10638610,2022-09-19 11:14:24,2022-09-20 14:47:35,4,Bulky Items,"446 S LANDFAIR AVE, 90024","(34.0695237827, -118.452195167)",34.0695237827,-118.452195167,3,Sanitation Bureau,8,1-2501010011,Phone Call,57,North Westwood
