FID,Name,FolderPath,SymbolID,AltMode,Base,Clamped,Extruded,Snippet,PopupInfo,Shape_Leng,Shape_Area,Shape__Area,Shape__Length,GlobalID
1,Arleta,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,0,0,0,-1,0, ,https://empowerla.org/anc/,0.13244134512,0.000830294569765,12446361.1289063,16399.3729303324,a2b9ce7e-4571-49d6-8c8f-4c63604f7e7d
2,Arroyo Seco,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,1,0,0,-1,0, ,https://empowerla.org/asnc/,0.232590187315,0.000776695430585,11623196.5390625,28162.3219326616,bdb8c5af-ab78-43dc-bd99-bc0b9428d333
3,Atwater Village,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,2,0,0,-1,0, ,https://empowerla.org/avnc,0.382870346744,0.00222095107397,33250170.234375,46495.5639811194,824e3269-9dee-4496-ba11-bcd29b236e36
4,Bel Air-Beverly Crest,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,3,0,0,-1,0, ,https://empowerla.org/babcnc/,0.455907896418,0.00429788896434,64323136.75,55733.8058397873,c1ec045d-dd86-4a11-bf7d-d42fd9dacf97
5,Boyle Heights,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,4,0,0,-1,0, ,https://empowerla.org/bhnc,0.160677641103,0.00144986073596,21680916.3710938,20042.9809078254,4c85b440-3ddd-4f89-bb47-32d7b93fdffe
6,CANNDU,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,5,0,0,-1,0, ,https://empowerla.org/canndu,0.102237109092,0.00064547091545,9645438.7734375,12611.9089591072,180ab4e7-32e7-45d3-b89b-db27bfdc13aa
7,Canoga Park,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,6,0,0,-1,0, ,https://empowerla.org/cpnc/,0.136597304677,0.000934800286055,14008033.2929688,17117.6415334612,2ebe6d76-e135-478b-9600-771477c0cbfd
8,Central Alameda,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,7,0,0,-1,0, ,https://empowerla.org/canc,0.0747180711015,0.0003457029385,5167326.1796875,9208.84903582493,f03301d9-1ebb-422a-824e-32acdf2ea5bf
9,Central Hollywood,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,8,0,0,-1,0, ,https://empowerla.org/chnc,0.0803353305456,0.00030769410944,4604345.1875,9775.69333082295,0a2a4f76-83f9-4551-8121-0a4dca40ecef
10,Central San Pedro,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,9,0,0,-1,0, ,https://empowerla.org/centralspnc/,0.128482620401,0.00062564512707,9323594.49609375,15713.7418881903,d5f7dbef-bf3c-42c0-afb0-63f43f94f7d5
11,Chatsworth,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,10,0,0,-1,0, ,https://empowerla.org/cnc/,0.278127683658,0.00288486279448,43251548.7578125,33221.7910181091,c1b5a728-698e-46c5-9f2b-42b050ea9c41
12,Coastal San Pedro,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,11,0,0,-1,0, ,https://empowerla.org/cspnc/,0.193106880319,0.00119874354363,17859411.3632813,23040.002876268,f5e1b510-5a85-46b6-a080-92c250b76c78
13,Del Rey,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,12,0,0,-1,0, ,https://empowerla.org/drnc/,0.181136734969,0.000766237801405,11451736.953125,21790.2754383303,64e985d5-a727-48b6-8588-0049785a9a51
14,Downtown Los Angeles,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,13,0,0,-1,0, ,https://empowerla.org/dlanc/,0.19671373067,0.0012737204375,19047347.1835938,23977.9304783472,7db450cf-fd1d-4372-b1ae-a228b6ff168b
15,Eagle Rock,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,14,0,0,-1,0, ,https://empowerla.org/ernc,0.199014372953,0.00105179208947,15747013.5820313,24000.2124125469,eb24a9be-597d-4a17-9cc6-b92a8246a0e8
16,East Hollywood,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,15,0,0,-1,0, ,https://empowerla.org/ehnc,0.0838568082851,0.00042704629244,6390175.67578125,10248.5396311852,75837ceb-170f-4950-a7f0-0d7b4f8f2baa
